"","OTU_1931","OTU_2222","OTU_6378","OTU_9477","OTU_9514","OTU_9562","OTU_11297","OTU_12570","OTU_15054","OTU_15382","OTU_15462","OTU_17538","OTU_18951","OTU_19191","OTU_23235","OTU_28952","OTU_35049","OTU_44126","OTU_46159","OTU_50448","OTU_51831","OTU_58295","OTU_58296","OTU_58301","OTU_59566","OTU_64396","OTU_67513","OTU_68416","OTU_70379","OTU_70628","OTU_70974","OTU_72003","OTU_73021","OTU_73887","OTU_74059","OTU_74211","OTU_74391","OTU_74655","OTU_79234","OTU_83011","OTU_86715","OTU_88035","OTU_88701","OTU_92034","OTU_92131","OTU_92289","OTU_94166","OTU_98605","OTU_102425","OTU_104043","OTU_105974","OTU_107258","OTU_108747","OTU_114821","OTU_114946","OTU_125439","OTU_131765","OTU_132150","OTU_142000","OTU_144643","OTU_145149","OTU_162077","OTU_164515","OTU_180927","OTU_200359","OTU_204197","OTU_204845","OTU_236623","OTU_239506","OTU_244707","OTU_247733","OTU_248474","OTU_248759","OTU_255669","OTU_332405","OTU_361804","OTU_370058","OTU_370431","OTU_389328","OTU_399586","OTU_423742","OTU_428237","OTU_469893","OTU_469920","OTU_470213","OTU_470477","OTU_470738","OTU_470747","OTU_470805","OTU_470993","OTU_471122","OTU_471141","OTU_471156","OTU_484296","OTU_484401","OTU_484462","OTU_500281","OTU_515620","OTU_516119","OTU_521268","OTU_526804","OTU_528842","OTU_529659","OTU_529857","OTU_530801","OTU_535825","OTU_539347","OTU_540352","OTU_543491","OTU_544531","OTU_554755","OTU_561636","OTU_566658","OTU_568929","OTU_570119","OTU_571665","OTU_588912","OTU_590169"
"OTU_1931",6539.76701721341,1565.48248574269,2869.63957777429,2799.04086224036,52848.2263250144,2759.46831999163,-3186.93741170931,-1041.09173075917,69661.7004787318,-15243.7120023021,154.887236435934,14824.4688039554,29104.2020875844,5341.30610055983,-1206.18926908387,38051.3215220007,15188.3948882959,-1453.57259456914,-1036.84120755507,730.450740333804,542.671218542353,23849.3399780254,2250.7438392717,7924.26716109454,4306.04015591482,135432.015931565,-1908.34921257783,894.954585883953,-27.8222283262701,11664.1301601005,77377.2877622561,-1067.9178438759,14545.1092319364,1312.2115183383,2673.95207450426,1480.94960236488,10011.8029220949,-11821.5817898812,7181.10869565217,5829.00788730184,4258.04854026056,2027.98136085387,828.328179772929,935.574203421755,17266.4206037775,-745.520221838539,2505.51942395228,7128.62135719144,3146.93336995762,3752.78716057134,-857.219366399833,52601.9956312458,-80352.7358996495,31117.9274446712,109644.453905719,2448.3916836708,6488.56663004238,595.914259927798,6020.1293752943,-1455.60427457751,38671.5053759221,7186.93609061895,1458.62257364098,1197.42488097107,30046.8571652802,21343.1854104536,42312.104339978,3998.68525349239,2821.00637000994,-8847.06962538586,2469.84065819076,1266.11451629781,4951.62256056088,1735.63728875634,362530.157811437,3378.22102757286,805.892376916235,-49830.0405090776,5466.92896196306,5599.71790142835,186483.948425156,2914.61553654581,2464.64058494219,12069.8406451107,4332.19532517135,6800.74166797468,1356.625765186,7592.88980013603,467.208928477999,817.585870873228,822.907209752524,-89292.7504970439,27678.609820541,918.796774446712,3598.33761052687,2532.77508763669,1245.93405012295,688.477449903207,3411.3377674881,12155.2300266834,-8552.32324857427,-13924.1193559358,-5123.06644692094,5053.9969261759,3447.82712028462,5282.55504107152,9680.03068592058,94889.1836184796,-887.826531680008,1520.52292941977,1003.29797781615,2986.10082143044,1946.72102757286,-1989.08825145189,27430.0287500654,3536.50187045466,2196.55972374823,11.4735127923403
"OTU_2222",1565.48248574269,5685.47085753152,-877.185907497515,-1259.9455998535,23132.9040966881,1457.47266258567,-3108.17117930205,-320.177078428295,-651.025676241302,-3853.15184691048,-1802.5102809606,-1330.08307173128,-20.1815779835714,7467.86170407576,866.811031758489,27434.42856956,-2837.33615863548,-173.469562601371,4410.25914299168,-511.177130748705,815.38208287553,-3136.82230680689,-8510.28415214775,-6154.39121278711,-827.351527755978,90463.7340291948,6433.10307120808,414.364241615654,1672.42999529116,3981.80993302988,10229.566708523,7.29929890650343,-5799.43964840684,54.7800449955528,-658.747737142259,-16.1177601632397,11338.5640140219,1215.78866478313,17922.1231884058,-969.805302673573,5674.12533354262,553.552909014807,-63.1717809867629,1345.80641448229,45561.0950661853,371.594752262858,1145.73185789777,-3542.78764453513,428.52510071679,5235.51251765814,499.901271385968,37718.7289279548,-24050.8144849056,15905.9644221211,37177.1051247842,2446.33165908021,2409.06547899336,384.587584366661,1156.0215429289,-323.250523204102,11050.2421388584,3615.31881441951,-24.8341181394862,-1162.95929472087,35781.0274943756,-6420.2736357453,-5354.40418824884,1195.31288913305,3226.12530738241,-5740.52389734736,205.357099879663,8780.92633286245,4353.63957777429,2989.62029770313,6945.46749594517,715.026304086224,602.385195939936,46824.7282739497,1011.06642076074,3548.71426515984,147876.177915555,7375.94906608068,-126.406869669858,1745.41412912677,-686.777167372992,11271.8058912782,2575.35944121802,10432.3808271857,174.14429969131,-261.628891330508,1510.9676529064,3111.73957515827,20280.965049966,-2179.42934128604,-397.677549311987,153.386019986397,4534.26972479464,6113.9887118715,-532.796682885994,42706.7358342489,951.200740333804,11200.1853581332,16054.4150970544,2954.41636582431,15987.9584575943,4057.51005859886,5870.17315439753,110914.416182703,2452.16363208288,1647.024106629,1097.41454769005,34553.824360383,-187.683840841312,-522.850481347774,28550.8598597813,-212.017501177209,774.720399727934,1014.44437032386
"OTU_6378",2869.63957777429,-877.185907497515,49877.3409721132,12040.3494087794,226128.772837859,11623.4719562601,15563.2774420551,3730.59808768901,147525.758619788,4211.94376863915,14893.6328415215,62062.8448699838,60624.6177732433,-9241.60645895464,2362.68497881023,38122.2314393345,105381.621056349,69.4288834824465,-6614.57396797991,5823.15447601109,2467.75456495579,34884.9793857584,62955.4913540522,61670.1449798566,27294.9450897295,105268.307644012,-11858.6031104484,3234.21486684456,-856.320540993041,3553.52130748705,130521.452715429,449.381690472453,79410.0013603307,4223.90795531837,6651.85015434521,5456.07090723591,-20056.3479961283,5430.88700099409,-28685.9710144928,25719.7944854288,1110.42720922932,6174.41843248051,5707.67047297651,2235.52809606027,18153.180099932,9199.01842986449,12569.2944985089,69615.5007455658,8660.94498508868,25147.1893475645,-1485.34161303825,132817.709490922,-38469.0611756396,105961.29333438,147457.276945011,3888.09065819076,11939.9571888244,1889.01174593209,15022.3446083817,-53.2658269240831,164012.940642495,13967.482904306,6962.29510019359,7548.52118976613,22883.5364150055,77319.1174462408,71104.901022864,718.746599173337,-747.035538638623,28828.4356197353,5303.90643802647,-9139.4820540993,2487.49849578821,421.069259142992,826906.456063936,9355.41616962277,3121.50272066133,-35453.6381912834,30872.0110396066,1346.50597760686,96446.851148433,21541.8849735782,10262.694004081,5023.93229738921,49007.3638753728,15937.3383560927,8443.20280699001,-3719.64211531418,1513.15854392298,4787.34197928112,1471.8593627374,-89683.9231413174,7955.47899335531,11971.0703971119,18233.4642782399,14447.0937712552,-497.345353947575,-3938.01990791608,17672.0887484958,120506.027101972,-7620.21655417778,-30419.4463584995,-5364.25037932297,10420.0008632868,-1668.71680269973,4105.8033668184,10538.0911813949,580073.123947052,-1362.00121644954,10155.987377701,3940.38336472558,-58906.5522288495,1778.26037252132,598.009352273322,20926.266193167,8896.80211112855,2501.43701930623,6630.43767331136
"OTU_9477",2799.04086224036,-1259.9455998535,12040.3494087794,19267.7077120285,92486.8218228431,4994.73858107048,6179.60295348715,1752.45153822006,42032.3732930466,-6647.60035054675,9283.30777481295,39606.5349369539,29693.4506226129,-4049.00945691414,801.513472505624,11250.2001386491,47040.5371736514,-1119.04396222466,-3766.30377230158,2722.89600010464,-895.634607335322,20168.8332810129,22581.8507560299,28392.2910322817,14361.4819102182,48715.0488018626,-7108.92324595825,2319.57182284309,-129.697679589808,2990.30369382096,82718.8545754199,-757.388413645163,49370.6936509182,3555.07935698216,3489.7371684194,3761.50664469209,-14422.9838983938,16215.4991890336,-11424.3224637681,7000.44838591535,-1232.15771987652,2757.12487573903,3119.39542458013,2315.50534976194,747.775074556585,4443.73532412494,4370.57005702925,39853.8410505938,4303.06288913305,15227.4632187516,-481.043177418511,5016.42731387014,-53711.8492779783,39788.3427771674,105885.051914927,1567.07785277037,2273.80667608434,315.601239993722,3268.88774655993,-682.077120284623,82130.7188039554,9120.59179615968,4822.13431957307,4738.08184220164,-4971.91979281118,78333.8653665045,49886.8835216868,865.419858211688,-1245.76519907916,7149.0405744781,4148.36405849422,-6026.24114477058,-380.430583895778,-251.175364934861,384187.284989274,4523.75693245435,216.854693140794,-36034.172709674,14800.4476665097,378.158046879088,-25295.7332182284,5314.93002145137,6717.62596138754,4969.52379270653,25202.2542248731,-14136.4630748705,128.865693507037,-6168.00737717784,1870.22847015121,4559.35938889761,-223.885352901167,-108321.382998483,59415.3099591901,7523.85929733689,10933.7669125726,10580.8145633862,-1948.52227541464,-3588.67981216973,7438.48415999581,55532.0482001779,-8736.92319363784,-30339.6137184116,4515.72878407367,8763.84551090881,-3637.8798723382,2968.08118819652,10479.8468712395,75635.7960550411,-3778.14874692618,5915.77215769372,-320.524655993303,-68147.3907288233,1772.86200491812,-954.802255009679,21483.3933317637,2535.58554387066,1263.54489091194,3919.80598283891
"OTU_9514",52848.2263250144,23132.9040966881,226128.772837859,92486.8218228431,17230211.5624967,872717.670028253,82648.7608957254,-7004.97390519542,1031261.34442526,332185.938929001,63411.9393475645,511671.004041752,1059643.42904044,129145.262059855,3184.98967979909,1407563.72918956,1813934.96939256,40164.2421780987,-37413.0947915032,42800.2260110919,209712.44901376,-71218.0200387171,203591.654776853,311516.309566787,180930.365091822,5392021.09691048,-58836.3532020091,25980.7943807879,-29495.537369853,319659.600965312,1410068.45455972,23123.6180086852,373763.526997332,20639.5350285146,59502.5094176738,-10054.9007351018,591671.714016638,234237.943023073,624654.293478261,176122.402095432,226677.060678596,51003.7440747135,36831.9657301313,-48817.0235049443,-528995.617459321,68420.6798644901,771999.534740752,267286.191218019,33220.5974075237,197606.220752891,-52022.9753570868,4410501.5235311,949836.85334589,3010486.61698844,4956225.959504,59977.3103646733,72555.7902736358,38614.9560770156,387622.760555643,-2149.81605451787,2671300.4975671,143492.103581332,51279.7958457594,27061.1933893162,850122.639643175,2496304.26870455,477219.109820541,136181.744100874,57812.8417961597,475410.043648302,30930.4235337205,41004.6053209857,298580.513904149,24127.8207371946,14439947.6617616,46335.3652749438,60110.7895019097,-556596.94128342,420229.420041333,-51148.1057264689,6589924.36220112,105212.451839062,34203.6816172239,16277.2901428347,158915.63261916,2072071.16768691,159106.194671166,557520.127439439,8931.26493747711,15121.1604405379,71245.6779547952,4894182.41665359,740372.902775598,1375.33914089886,94007.1876602313,35511.0393711087,15486.5047480772,-12916.5492204259,141731.936901585,2904870.13095799,126619.963938157,1536389.2828049,-512049.716279496,68236.4031418406,25058.9074451944,153069.649427091,127032.826322398,9718672.43980537,394268.819782347,55222.8161068383,213374.270522681,3244813.67694763,51730.992086538,52292.5624182494,552740.964906085,62269.429969131,34709.7185815937,41630.5138910689
"OTU_9562",2759.46831999163,1457.47266258567,11623.4719562601,4994.73858107048,872717.670028253,48156.6022602417,5375.42600585989,-4.54647360435306,47860.0902527076,17542.8896824151,3934.00650081097,25672.1421807147,53644.8268586826,8305.26551300162,346.03670276775,72191.4293674462,99388.1456077016,2348.71845079265,-458.967378224245,2428.60262648459,11572.0660283577,-2604.6139669335,12747.8133076963,17257.1530241197,9258.26893998849,282454.854287658,-1943.82862449642,1433.2171297023,-808.978718673154,16640.4902684037,58265.3865170303,1420.3464919165,19744.5692068226,1279.00517972061,3363.55776173285,-958.19286611207,30993.3532150892,12146.9635849945,36625.7391304348,9339.38864908701,11646.4847224402,2633.35568722859,1817.17507717261,-1659.565178151,-18418.5163108879,3545.49060848637,39825.7176659865,15296.3880212421,1461.80709464762,13949.9826950243,-1813.72784230628,223398.020169518,45606.5031784649,155600.185161932,249456.144378172,3004.19873907811,3011.98276042484,1982.71804530948,18989.5473499712,-83.9510280960603,151646.113339089,8131.81549207346,2574.63505205881,1366.44215978653,43709.9033380422,128207.49998692,18765.5428896563,7538.37951917543,3093.4958666876,24307.1730235965,1761.91892952441,3440.70828755297,15311.7282739497,2485.27491759535,706744.810495474,2520.40677810914,3070.8485585727,-14255.5816590802,21483.1830167949,-1945.51608852613,332275.765944645,5976.11813948621,1969.13445037409,1254.71504996599,8853.13851828598,116668.99104013,8073.852678805,28969.713271072,625.593548893423,1212.61785172396,3772.85957201904,277882.357649244,53645.17856956,511.649387851201,5152.09977502224,2548.41418144718,1305.01390414901,-326.546329723225,7306.17314131743,161793.683160676,8446.87954533564,94388.7874352535,-19576.2190263172,4202.61004290274,1913.3927169989,9103.30923978444,7895.88840056506,474456.467038142,20197.524616753,3777.71608329409,11994.7976115733,176190.829723225,2961.30532883378,2776.01882226757,32799.4316172239,2716.9953565636,1750.03725213206,2853.17650290378
"OTU_11297",-3186.93741170931,-3108.17117930205,15563.2774420551,6179.60295348715,82648.7608957254,5375.42600585989,19860.550515356,3898.43979228797,20644.1648877727,6025.06103175849,11537.9815962957,27959.7357819285,17991.2343431172,-5843.91894260451,2087.79632972322,-24694.6994584838,69260.8789174907,617.609676659865,6.27644796735207,3221.34046198922,2070.84991890336,5079.97915031654,39546.7907706796,26556.8350599069,10883.9343378852,-57407.7064432585,-3445.36278972427,803.420316015278,2236.13229215717,-4533.14830220269,-36074.502419819,476.25882906922,32321.813006854,2403.72339507142,2969.96813687019,1430.19863443729,-16188.3534374509,24924.3688588919,-5276.19565217391,8554.82671480144,-4244.73542876576,2512.12711243656,3230.81763721028,8.8112279600272,-2924.13278920107,5699.09731596296,5170.86337832889,33384.0898210642,2438.49610212944,7709.19412180191,2473.08184220164,62554.0291424685,9101.0174357767,14153.0858316329,-47709.6180610056,-900.63146811071,963.902448595197,375.576021556009,461.922801234762,454.046552084968,36307.2441008738,-2558.64749123633,2309.89772667818,6802.21737822425,-22503.8200439491,43723.538769424,13413.1757834981,-1613.6955606132,-3950.09668811803,17591.9225527128,1587.15520849683,-6248.30271281327,-2248.72355203265,83.329029979595,253842.46677654,1818.27345262387,866.513694867368,44597.367223879,9378.58532150892,-1220.0708549155,-169103.201956783,5959.54833097892,4165.18836655679,-9419.33563543138,26258.6745539685,17417.7019829435,-370.883456286297,-9936.84560246952,1307.87687699472,3600.18024381311,-605.956247056977,53495.2537278292,6904.48069376864,11976.6818003453,8053.67263119343,7302.01836446398,-309.824216501857,-3706.83449746246,6066.67870036101,63685.2095824831,540.524001988176,10675.1252419819,2523.08530842882,2832.28211165176,-7988.53854706221,-2719.79686600743,-4255.6504342594,1326.36561502642,-1037.93144718255,4896.59795688798,2309.85755768325,-33332.0713781196,1313.71548160938,885.468045309475,-19538.2409878093,1071.48415999581,-746.201551300162,4986.31278449223
"OTU_12570",-1041.09173075917,-320.177078428295,3730.59808768901,1752.45153822006,-7004.97390519542,-4.54647360435306,3898.43979228797,2592.95186522262,-3240.96285250876,13512.0748312667,4491.12237743944,4973.44972008581,6376.47827394967,258.265983885314,2228.69215978653,-10546.5232433422,27581.2365013342,927.868047925496,3022.57025323079,1160.57641395909,957.275990163763,5121.04664364569,17336.5038978706,6385.24037304452,3885.08537382933,-4895.05939674567,2915.4071051117,418.410152775598,794.490412284832,-911.938693559357,-17265.4010882645,869.497213938157,4992.79317741851,953.697090985193,680.955658452362,379.438575838435,-2916.89624862659,6051.73384607335,2320.9384057971,4201.64076806362,-496.149976455815,1263.74030764401,1172.31050855439,1535.30858577931,21432.4884241092,4086.10528174541,-32.1043922984356,13254.0403521164,908.879990059122,1231.77599016376,1217.78433526919,50610.2761340449,62249.1548684142,-4421.70178674201,-27040.9723748234,398.442081305917,-1550.83288860985,201.349618061006,-518.668811803485,1104.95200910375,-3881.1180740857,-395.115261863653,591.11098467012,2727.53586564119,-1276.24746246011,3643.99496416052,-6447.54907654476,-693.968450792654,-551.794223826715,15093.7662585675,744.219026317166,1338.19433108356,181.613731491655,1462.94472348663,98744.9356851358,542.102325642233,427.350847590645,63762.050384555,3458.14262543818,624.13562758332,-30516.694645006,4684.7808036415,1145.28150996704,-3252.33619787579,11977.4998299587,6371.53958039031,421.310325432951,1881.43182650552,978.019947156386,1547.0939282164,60.2830534191388,14086.2058284937,10484.4884110291,5538.78968503113,2481.26120964788,2939.65550933919,610.842227803066,1101.47102757286,943.177523151782,23318.0675848899,5230.18654842254,17687.8727175221,21027.3813896301,2212.14187987234,-485.227868466489,-293.199929367446,-1024.94042013289,-22.1214749123633,1398.06440642495,2212.21380735625,1188.68915136295,9198.41445612934,174.86319520745,1908.23570344792,-3441.76577460367,42.1832914770052,-210.607204520483,2998.78332810129
"OTU_15054",69661.7004787318,-651.025676241302,147525.758619788,42032.3732930466,1031261.34442526,47860.0902527076,20644.1648877727,-3240.96285250876,3061523.7674881,-265537.763838749,39240.2910322817,371873.518639146,919096.611481714,38706.1110893109,-12424.1714147439,600426.063660859,921412.824059541,-34672.1528933187,-29768.9599748862,27045.5950138649,20679.7605425627,590629.116255951,327100.308507299,359771.195835295,186702.717234343,1667643.85936274,-52550.2177706273,12554.9965991733,2364.38172971276,135923.442329828,1618421.3363156,-19895.2600978392,361779.012007534,26471.4840030346,53011.3813373097,33360.9275231518,61036.1062889133,-34052.8791921729,153223.155797101,210818.222727986,63210.4100873751,38952.5079919427,17340.3086119395,17115.9099304139,384882.494480197,3521.20037409093,52741.2028462303,338753.091377596,47817.9233898394,14483.0322816931,-9758.9691963585,1940989.42162403,-1728121.56375242,363509.700583373,1241175.26097421,31881.2394051169,239883.924436248,21401.4179223565,136323.633665568,-33198.722060901,831688.904567572,71358.753570868,28716.8245173442,36164.9219902684,305719.000640925,572284.22446764,1212523.39089886,52604.0605608748,25473.9172814315,-45847.8557657092,31646.7576780202,-21751.8103777534,59377.1994454037,43883.9579867106,11405999.1886151,51745.7699994768,40344.3537252132,-643284.536205724,151640.002406739,69131.8125882907,2411484.16380212,51265.0176973787,36253.3166954429,191903.020287239,199765.286244964,203373.905260817,6299.54859258097,7903.33411813949,11274.1654109768,12882.3400434259,10618.909943494,-1584193.63679171,253485.180099932,55067.5036362685,61475.6050463036,54191.7865327264,2145.19162350233,-15281.4537356773,75413.5261994454,221000.55862502,-214416.305041072,-304136.111167792,-135675.405313138,73228.6805577356,-16968.9961282896,88835.3244650238,140915.42601894,638483.281640768,7442.87798880343,16505.9105320986,25847.2059069743,-151034.695482133,37008.4402893319,-30908.5125568984,303926.737835505,165735.733113588,29703.0241327892,2922.90685658976
"OTU_15382",-15243.7120023021,-3853.15184691048,4211.94376863915,-6647.60035054675,332185.938929001,17542.8896824151,6025.06103175849,13512.0748312667,-265537.763838749,577511.575707634,5928.42178098676,-87412.8278396903,-89834.8276304086,12012.6899884895,19260.0244205515,-172843.84061895,271940.922552713,48046.2696201538,45019.4021477528,6488.14619630618,31055.817218647,-11875.3445299011,89534.155993303,36842.983806833,1131.62154031288,-230037.023792707,75433.1572489928,1041.36284204468,1026.02990111442,-16070.5240150683,-357686.117236959,37163.538900225,-61794.1710223408,1277.42804635588,-4892.86914665411,-8792.58528226861,16024.6595118506,-24106.0068801339,58229.7862318841,12238.6321221158,17318.2153377282,-12814.870794747,-8143.61464709883,31374.9528200701,363114.829723225,14994.0405221577,20620.2711897661,82833.8290299796,-16132.1395516141,46870.7701171977,16592.6658295401,387683.648066761,2847029.2653822,129811.524603673,-61245.379336054,-7118.25255062,-44609.5452309946,2004.58202532308,-13511.8555695077,45613.3803170617,331390.664626171,10599.5066970125,-3808.02010411762,-15447.8770731963,-204347.937110867,-191248.286205724,-259006.29592424,-7514.01628472767,1695.59884633496,471225.733662952,-6325.71829383142,13781.6740046042,30097.858669492,15853.5805995919,-714314.472440224,-1766.79181708785,3551.11085386909,784692.025637001,-7805.85878721289,-8557.40622874483,-395232.763773348,8472.55719928844,-6828.6565819076,-21982.6221289175,8204.58165908021,299813.126615393,12767.5844974625,124122.218385392,-5019.33202532308,-1408.15599330299,9324.34969654162,1285248.41151311,384180.548657982,-8145.34950034008,-17389.0944775807,10781.7042458013,-10483.3720111966,-1909.78415214775,-5478.23758698268,703686.988751112,237078.005402082,677569.555564276,454835.300371475,13472.569769267,-8181.89775283838,21046.0083320253,-9554.40361272432,125205.167372992,94396.298592581,21326.4373986292,34701.5641971433,347920.40939413,-5639.48022288495,81534.5022105373,166952.466475697,-3945.46535080835,-10659.9911709308,44961.9259796997
