"","OTU_1994","OTU_2045","OTU_9514","OTU_9822","OTU_13860","OTU_16054","OTU_24546","OTU_70219","OTU_71685","OTU_86458","OTU_86468","OTU_90431","OTU_97263","OTU_97627","OTU_104780","OTU_109014","OTU_109541","OTU_109546","OTU_110317","OTU_119271","OTU_127309","OTU_138006","OTU_145149","OTU_158660","OTU_162129","OTU_164968","OTU_165261","OTU_165734","OTU_165924","OTU_167401","OTU_168711","OTU_169182","OTU_169809","OTU_170124","OTU_170206","OTU_173934","OTU_174019","OTU_174194","OTU_174501","OTU_174620","OTU_174738","OTU_175261","OTU_175596","OTU_175617","OTU_175981","OTU_176386","OTU_176808","OTU_177111","OTU_177339","OTU_177477","OTU_178122","OTU_178148","OTU_178513","OTU_178809","OTU_179408","OTU_179460","OTU_179885","OTU_179903","OTU_179905","OTU_180070","OTU_180450","OTU_180468","OTU_181003","OTU_181139","OTU_181170","OTU_181330","OTU_181882","OTU_181961","OTU_182205","OTU_183187","OTU_183487","OTU_186640","OTU_186955","OTU_187360","OTU_187524","OTU_187743","OTU_188196","OTU_188818","OTU_188900","OTU_190310","OTU_190454","OTU_190464","OTU_193572","OTU_194041","OTU_194565","OTU_194654","OTU_194672","OTU_196080","OTU_196167","OTU_196757","OTU_196812","OTU_198909","OTU_199065","OTU_203708","OTU_203852","OTU_204044","OTU_209196","OTU_212503","OTU_213747","OTU_214503","OTU_216862","OTU_217075","OTU_219733","OTU_223351","OTU_232142","OTU_234488","OTU_249271","OTU_259569","OTU_266274","OTU_268332","OTU_296695","OTU_296918","OTU_302160","OTU_313672","OTU_316732","OTU_318833","OTU_322235","OTU_326792","OTU_337270","OTU_348374","OTU_349216","OTU_353577","OTU_355533","OTU_356051","OTU_379056","OTU_388731","OTU_469858","OTU_469890","OTU_469991","OTU_470139","OTU_470172","OTU_516022","OTU_539014","OTU_561219","OTU_561987","OTU_567197","OTU_577170","OTU_592015","OTU_593352"
"OTU_1994",3658946.76494013,322160.85154553,-93231.2618212197,-30171.1329991646,1695442.24307992,-234252.459314954,101432.568783069,4382.17802840434,2562991.47304372,64696.7588972431,5755207.04527987,145475.135728209,68723.4167362852,-38480.3377053745,19152.1946811473,-18542.2109997215,47558.41208577,-43291.4114174325,36631.3120022278,187819.962099694,264051.507908661,282166.772960178,33932.2016708438,314964.728682818,-79038.7006683375,-113910.130019493,259081.330520746,228658.432915622,-1146503.30453913,18261.334642161,92888.4590921749,549072.186076302,-41483.2808966862,-34609.1883597884,-663890.518017265,-30840.9269562796,68736.747786132,89451.2795600111,10589.5285157338,-36649.0004734057,-220853.404901142,192230.056112503,-35959.2846839321,134309.662740184,1569009.04049011,84025.2898357004,-43251.9757449179,171208.699108883,284746.151406294,16064.168866611,-48787.3397939293,47601.7231968811,459468.080367586,-73656.0205235311,376463.993511557,-10067.0168476747,-95884.9714285714,-70630.9477582846,-34503.1281537176,550041.886299081,-25179.088053467,86855.0978557505,321476.276524645,-62208.6919521025,162338.814452799,-46856.4501810081,36373.4587858535,62708.1131161236,-53137.7152882205,14450.7306878307,71920.5012531328,8596.89869117238,-32417.0210247842,-21198.1794486216,-31164.2336396547,-2525.68075744918,-23649.4208298524,176424.343414091,97275.8270955166,-57023.4277081593,-148045.134001671,444120.039961014,-20559.343497633,135352.088861041,-51882.6124477861,42536.731690337,84226.8355889724,107654.421219716,-30402.2941520468,3824539.82414369,101790.778000557,-19547.1369534948,-252065.1053467,-83027.1796157059,142177.382595377,-21161.3401559454,40583.8992481203,16002.7383180173,-65037.2457811195,-11422.3631021999,9002.65135059872,-19457.5516569201,23030.1398217767,-88430.5480367586,-174836.546616541,90724.1159844055,121847.35978836,144991.880284043,-61768.3935950989,473719.943052075,-16771.1785853523,-1809.3328320802,-6739.10863269284,-40400.5303258145,205.672208298524,7110918.92445001,242074.787830688,7550391.66282373,138953.663018658,720237.965942634,566441.667474241,112295.782010582,-17561.2264828739,61174.6227513227,66224.2633528265,816944.996463381,-101137.403982178,505924.627318296,1192715.60139237,131890.040072403,-465886.579560011,162493.401893623,62858.2456697299,-22214.8133667502,-40333.5182400446,38541.267390699,1218864.34497355,10135.1370648844,-96032.3654413812
"OTU_2045",322160.85154553,194373.778585352,-51225.9307156781,-35158.5863547758,649754.884405458,24108.3658033974,-1004.89682539683,11722.3194931774,91766.5816485659,17497.7174046227,903396.139404066,1991.41225285436,19906.1961849067,-8069.38337510443,50977.4299916458,31349.4033138402,72717.6365357839,-1896.90236702868,26783.2529657477,37867.0874129769,177701.40459482,315557.513422445,-28379.2873294347,71178.1260651629,100398.359482038,80116.3865497076,114399.588944584,107029.856752994,643265.844722918,48459.1427736007,12118.7016429964,-221650.153383459,19221.6558897243,1697.31957671958,-96662.1610136452,18189.7160401003,59769.8121136174,25941.5741854637,16117.2795600111,48684.8939849624,46298.7557783347,18980.8049289891,3172.87655249234,197877.196017822,39235.7614592036,41620.6331940964,13530.338652186,2757.39835700362,93602.6042049568,79875.0396546923,11445.2945697577,74025.9211918686,12873.0430520746,6141.70490114174,32273.9055137845,17071.1872737399,5903.88042328042,16483.5409635199,6946.8977443609,54088.8548315233,5942.49284321916,65726.2538011696,14253.9977722083,31479.1763297132,-1315.78259537733,5802.54230019493,202298.279170148,13517.1390142022,-2326.2970203286,55176.4185185185,14439.9069896965,28108.296908939,3731.87120579226,10046.6270119744,19433.5135059872,11880.2276246171,9897.92475633528,13804.610749095,18396.5154831523,22248.6004177109,48698.106042885,18145.6180729602,16250.3649401281,-2410.33720412141,27552.6877471456,13074.9959621275,34709.1193539404,58309.4426622111,6796.5604845447,849952.312587023,5013.50927318296,10033.4110832637,32420.7356446672,11175.6895015316,4852.40403787246,20858.0622389307,28680.9034252297,11857.1521303258,13376.7528265107,7510.2261487051,12950.5218602061,45375.8382066277,41639.7357560568,-10991.8120300752,43942.4319409635,3307.58744082428,17786.0317460317,566743.665302144,21741.2733500418,332186.465190755,14197.3755778335,29950.2411027569,19148.0704260652,26163.1937064884,55232.9829852409,4846887.33241437,335612.808994709,887575.818212197,24135.6262600947,72275.1527986633,857492.399025341,6546.1417989418,30551.5220551378,29579.3952380952,63861.4451963241,282644.039626845,-27367.0826232247,484740.793010304,27331.2750208855,-30595.3283486494,132649.681370092,68402.8822612086,64027.3311612364,10723.125090504,7583.29267613478,38033.7101642996,80316.9587301587,31422.647786132,18301.3761347814
"OTU_9514",-93231.2618212197,-51225.9307156781,1121713.72809802,733660.11133389,-223034.14235589,-43547.1411306043,-5820.34920634921,-5786.65591757171,-4363.70192147034,-5443.34909495962,380276.618546366,-6556.42027290448,-9038.50877192982,-5246.73166248956,-17326.0790309106,-15129.05636313,-22178.1259816207,-4098.05452520189,-7650.45090504038,-7162.24678362573,-85743.7065441381,-97899.3220829852,137680.676246171,-29396.600278474,-43064.0872180451,-49067.060930103,-21351.6360902256,-29690.3187969925,-382530.078863826,-14747.2686159844,1678.20835421888,495044.524756335,-15160.519186856,-6787.66772486773,-57905.3880256196,-12198.8246727931,-24224.9692007797,-12741.707101086,-7412.6522417154,-20458.3075466444,-52203.8925090504,-10532.0648844333,-6936.31289334447,-63363.70737956,-94009.8647173489,4364.84895572264,-11691.822277917,-10962.4527986633,-40288.4930659983,-36009.8708437761,-10949.9976051239,-24315.149262044,-21505.262823726,-10293.0140350877,-31119.1856307435,927.916457811195,-19125.4560846561,2740.3656920078,-8708.48437761069,-27865.1477582846,-6900.80685045948,-17079.1986076302,-5311.73099415205,-20511.8172096909,48562.1800055695,-9014.5216374269,-90916.1138958507,-7965.12882205514,12789.9506544138,-13358.326984127,-9759.87747145642,-13171.6932887775,-6923.73182957394,-6017.15032024506,-12428.8524087998,-6841.43196881092,-6546.49607351713,-9145.18869395712,-3685.09657477026,-14708.329935951,-41592.6946254525,-26506.3260930103,-8264.12141464773,-6832.69278752437,-15475.025229741,-5527.98663324979,-18168.4101364522,-15466.0038429407,-6507.38975215817,-238202.461152882,-4789.56457811195,20322.3958228906,-587.195098858257,-20379.3472570315,-14254.3773879142,-8004.70119743804,-8126.68939014202,29855.5412419939,-11224.5776106934,3816.28103592314,-5983.54636591479,-19994.7346143136,-12881.3413533835,-8179.19075466444,-52894.172876636,-4571.00556947925,-7385.08994708995,-219912.539069897,-15593.9297688666,-74536.5071010861,-5836.35856307435,-12253.5203007519,-9687.55143414091,71764.8009468115,-18570.4294625453,-1482332.49445837,-108120.06984127,-220202.090392648,-9940.8059593428,-38057.1881370092,-275372.43614592,-8355.67407407407,-14806.4345864662,-6046.05608465608,-16249.5189640769,-56425.5512113617,-7874.88872180451,-200286.526761348,-46595.8537454748,-12758.849122807,-121361.882316903,10235.2471177945,-17253.2697298803,-5911.18033973823,-9350.69646338067,-6264.75260373155,-2969.78624338624,-10389.9982177666,-20764.3490949596
"OTU_9822",-30171.1329991646,-35158.5863547758,733660.11133389,486114.375494291,-141149.538735728,-31341.1084377611,-1423.48148148148,-4359.80568086884,28782.4589807853,-3314.60590364801,267147.866778056,-978.803842940685,-6450.58006126427,-3525.27268170426,-12340.7171818435,-11018.4127541075,-15944.7176830966,-3182.77259816207,-5555.15917571707,-3920.34269005848,-57033.8748538012,-70269.6671679198,81690.125090504,-20217.404288499,-31889.4874965191,-35586.295572264,-14269.3126148705,-18993.4963519911,-277761.448788638,-10281.7337231969,1468.94558618769,311159.9582846,-10855.5709273183,-4916.36825396825,-41819.6335839599,-8862.94631022,-17788.8524644946,-8149.31094402673,-5417.03330548594,-15154.2270119744,-37292.4959621275,-6585.69340016708,-5036.39231411863,-43427.4919521025,-39336.6768588137,2613.5947646895,-8518.4626566416,-4207.67891952102,-29060.874909496,-26037.6802005013,-7814.14597605124,-16770.925090504,-3267.86505151768,-7478.56090225564,-16148.9255917572,670.856307435255,-13916.4793650794,1763.9029796714,-6193.41581732108,-18690.0598162072,-5020.00729601782,-12324.0441659705,1072.88554720134,-14880.9016429964,39050.9813979393,-6584.16168198273,-65608.8788638262,-5842.4179337232,8831.85976051239,-9609.81693121693,-7121.74798106377,-9629.42712336396,-5011.28181565024,-4357.84890002785,-8896.62656641604,-5044.50142021721,-4765.61604010025,-5629.837315511,-2037.45402394876,-10725.5038707881,-30343.6430520746,-11225.8228905597,-6017.87190197717,-1761.05051517683,-11248.3104427736,-3225.01531606795,-12261.2744082428,-10573.6862712336,-4688.69445836814,-135635.14619883,-513.551434140908,14158.6436090226,-1705.57722082985,-15536.0609857978,-6399.85981620718,-5941.20161514898,-5874.73428014481,21008.0199944305,-8104.21626287942,2620.1410749095,-4388.13784461153,-14398.7215260373,-9375.42255639098,-5554.53021442495,-38496.161347814,414.63380673907,-3760.15343915344,-158472.467390699,-11280.5963241437,-46455.7056530214,-4248.84483430799,-8946.52247284879,-6952.2597048176,50185.9667502089,-13583.7665274297,-1032312.88047898,-76173.0825396825,-89471.2430520746,-5773.965636313,-8936.1260930103,-193682.486382623,-3828.96931216931,-10738.8579225842,-3526.21587301587,-11939.6874965191,-40388.8365914787,-6014.67869674185,-147639.501754386,-7817.19170147591,-2326.51395154553,-89386.6583681426,2947.59905318853,-12803.9762740184,-4356.47585630744,-6547.75939849624,-4221.352213868,21238.0645502645,-7611.64154831523,-15033.5053745475
"OTU_13860",1695442.24307992,649754.884405458,-223034.14235589,-141149.538735728,3780071.68334726,118234.455750487,24503.119047619,73134.7903926483,735914.671595656,68569.6750765803,6191748.75845168,52875.041882484,64486.7252854358,-58094.5685602896,241016.50406572,179663.075271512,383204.409022556,10323.637315511,132987.65508215,190358.457783347,954597.002478418,1487333.2647452,-111322.29262044,304259.723948761,521095.29069897,394705.936814258,550429.821748817,551170.629239766,2819358.90292398,203140.529016987,63023.1989974937,-563253.714230019,86377.8093288777,17132.2825396825,-344666.467891952,64280.4832358674,293013.976134781,115904.632386522,73008.8033695349,373537.042133111,380824.665831245,55703.1065162907,-5245.6895850738,825811.069033695,341077.745586188,150545.125257588,48804.0529379003,33813.6470342523,350546.858173211,517643.632247285,29995.4321358953,317031.67251462,215547.471623503,31526.3927318296,243385.958423837,84052.8116123642,-2050.78624338624,15905.6679476469,46663.7390142022,169640.018852687,10242.5298802562,320893.095071011,90579.2041214146,149720.848287385,17205.6724310777,14798.99732665,1122523.97758285,54588.6152046784,-4852.01130604288,273411.767724868,72026.716513506,127483.725480368,321.543163464216,54079.4153717627,82137.0955165692,40248.9207463102,33377.8401002506,62480.1081035923,95503.6265942634,81943.0607351713,134730.11133389,98133.0942634364,70830.1162628794,26527.3294625453,97813.8676413255,59070.2552213868,164601.156390977,199839.24160401,31562.8144527987,3602812.48189919,62959.3928710666,35559.3846282373,132598.275327207,143544.096908939,65037.6897521582,80215.9987468672,127292.956335283,44196.2526594263,29511.9380116959,37804.2049846839,67414.0774157616,217323.811751601,178711.365385686,-65176.6427179059,106749.564216096,27281.4022556391,112148.587301587,2988919.73408521,128635.029963798,1326021.44931774,66774.9099693679,164866.468615984,96293.3667223615,110793.283653578,232760.665524923,19906037.972626,1472952.27989418,4868603.34202172,102017.827318296,403542.576079087,3694324.97574492,39513.4857142857,153751.215176831,118124.379365079,359432.201810081,1129308.14544695,-24203.7704539126,2227584.25861877,456818.777666388,-72381.8997772208,482310.982957393,276154.257922584,266138.093065998,46504.4266778056,27099.1127819549,138765.133444723,646216.075132275,128524.600167084,100710.540155945
"OTU_16054",-234252.459314954,24108.3658033974,-43547.1411306043,-31341.1084377611,118234.455750487,367546.570983013,-17568.5873015873,26046.9543859649,-372231.280200501,1105.90080757449,449837.554831523,-21606.2972431078,4911.58256752994,-14089.404288499,39884.8611528822,80659.8315789474,45879.9326649958,40157.1076023392,29672.2134781398,40736.0121414648,99860.7384015595,186891.193205235,-25657.9009189641,18875.4262879421,413503.429573935,216840.348203843,-34376.4849345586,35588.206182122,2203346.75204678,11848.7025341131,-12957.674352548,-217276.750543024,105639.552826511,42219.2571428571,350092.825174046,66362.1991645781,71122.8775271512,-5768.57516012253,19586.278919521,56814.2512392091,206555.776663882,-5366.4664438875,35398.7796714007,107416.156947925,-234220.080311891,98361.610749095,80051.8522417154,-28736.0050125313,43746.0990810359,134972.946700084,64692.5842940685,46403.1612364244,-73493.0057365636,103251.540573656,-19056.767251462,40732.6959064327,94225.7068783069,108155.181954887,32286.0075744918,9100.98351434141,30468.8363130047,35062.3151211362,-46579.8460038986,133005.219938736,-7031.81876914508,63591.0789752158,428594.045948204,-27088.5088276246,55025.0533556112,32289.2137566138,-32567.2598162072,79809.5588415483,35730.1757170705,45984.4712893344,59558.776385408,36493.7158451685,37091.9571707045,-13930.9786131997,17430.1850181008,107110.009022556,235015.288833194,-64401.1353383459,68178.3419660262,-24795.6044555834,105867.776608187,31810.5360623782,100117.623336118,6691.13906989696,44570.942021721,55717.1381230855,-14280.4363130047,23159.8292397661,366122.452464495,180736.811751601,10266.5718741298,67595.8343079922,39098.9072124756,20701.431411863,43728.7353383459,17417.6369813422,30913.3642439432,86599.5602896129,47937.3534948482,-1753.58006126427,258119.819660262,-11232.3790030632,-17699.5555555556,837259.552325258,56022.3771651351,260710.650236703,58648.7660261766,54730.9521581732,47409.1394040657,65025.9552770816,64970.7141743247,4752912.07708159,224506.57989418,282109.915288221,20064.4395989975,-51082.0248398775,533916.004344194,-5497.8455026455,73462.3087719298,17396.3693121693,101039.936452242,293633.49657477,-36599.2519632414,439217.916959064,-169551.562406015,-50410.1101086048,818815.428070175,161805.065942634,71295.7949874687,30182.9152882206,38452.8117516012,-2619.35928710666,-86444.4137566138,54863.8309106099,132500.858479532
"OTU_24546",101432.568783069,-1004.89682539683,-5820.34920634921,-1423.48148148148,24503.119047619,-17568.5873015873,16559.6058201058,-3389.00793650794,172523.060846561,689.904761904762,165702.888888889,10377.7248677249,1710.3835978836,-1637.4417989418,-5516.82275132275,-5776.29365079365,-6247.46560846561,-1973.89947089947,-3210.24338624339,3591.8544973545,-5903.97619047619,-26258.6005291005,-214.613756613757,-428.452380952381,-21158.3888888889,-19237.335978836,8029.3835978836,1370.4126984127,-158506.185185185,-2000.98148148148,5227.14285714286,161866.322751323,-5744.01322751323,-3042.91005291005,-36676.1693121693,-4695.90211640212,-10139.3253968254,1312.86507936508,-2847.7380952381,-8030.82804232804,-22827.3862433862,5817.25661375661,-2659.05026455026,-10021.537037037,138194.82010582,-5642.40740740741,-4584.15079365079,16166.044973545,5157.18253968254,-14219.3439153439,-4181.73544973545,-4342.38095238095,31733.7248677249,-5997.37301587302,17088.828042328,-3199.0873015873,-8190.48677248677,-7356.24867724868,-3323.25396825397,13411.208994709,-2655.60846560847,-2810.48148148148,21428.6772486772,-7738.10052910053,3534.29365079365,-3575.66137566138,-37398.5687830688,5175.29100529101,-3465.78835978836,-1261.33597883598,5330.77248677249,-5315.44973544974,-2501.9708994709,-2598.97354497354,-3206.55555555556,-2895.60317460317,-2480.41798941799,15143.5185185185,1975.92857142857,-6033.66931216931,-16005.1587301587,32525.2619047619,-3290.80687830688,15570.3518518519,-6268.68518518519,324.388888888889,-993,-15.6402116402116,-2685.65343915344,80701.5687830688,7008.39682539683,-2933.18518518519,-20808.2936507937,-10259.8518518519,18059.6746031746,-4724.28835978836,-3342.89417989418,-1967.04497354497,-4548.71428571429,-2413.80687830688,-2095.79365079365,-7701.4126984127,-1786.36243386243,-4290.42328042328,-21767.8386243386,4523.72751322751,6900.63492063492,-91131.7486772487,-6146.03174603175,-22434.9920634921,-2676.50529100529,-5166.75661375661,-3621.34126984127,-7865.67195767196,-9873.11375661376,-462209.85978836,-20692.082010582,243913.317460317,4204.95502645503,29289.0291005291,-51130.9444444444,6794.04761904762,-5749.74338624339,-1092.60582010582,-5714.42592592593,-20976.9656084656,5121.32010582011,-79764.7116402116,67316.2328042328,62693.4470899471,-52542.3544973545,4160.20105820106,-8235.89947089947,-2464.48148148148,-3391.86243386243,324.529100529101,48137.708994709,-4393.46031746032,-7739.82804232804
"OTU_70219",4382.17802840434,11722.3194931774,-5786.65591757171,-4359.80568086884,73134.7903926483,26046.9543859649,-3389.00793650794,31781.1206070732,-68355.8025898078,1290.04689501532,234917.238707881,-4463.45341130604,520.269980506823,-1291.61985519354,12527.7200501253,25585.6494291284,19422.9458646617,5811.83324979114,12562.9996658312,10951.0591200223,31829.5052353105,79036.0247563353,-5649.41676413255,17853.6451963241,54914.3314675578,47839.2346700084,-6289.90245057087,12427.8817042607,426296.539069897,3302.11637426901,992.833528265107,-48328.4109161793,17830.5202172097,6296.08888888889,36319.3872458925,11948.4027011974,39665.0802283486,1993.74695071011,10193.9062378168,17799.0440267335,58243.5499860763,-508.620579225842,4749.99412419939,27487.5715121136,-49326.3899192426,24484.9024227235,8238.23104984684,-5731.36104149262,-7843.70512392091,29683.0255639098,7104.30983013088,12363.7903091061,-15092.3948203843,11566.2102756892,3351.52935115567,8240.66207184628,15633.4222222222,13476.5118908382,8907.41035923141,13773.452492342,6056.16780840991,11616.0158173211,-9106.2776385408,18733.6213868003,2461.76911723754,8355.02027290448,88129.7932330827,-5991.92720690615,6747.47418546366,3022.72328042328,-1699.26733500418,14867.0407685881,4929.98705096074,6358.52999164578,11368.4798106377,8761.50091896408,6875.13717627402,2014.83497632971,5165.77852965748,12285.237176274,33355.0547479811,-12823.1502367029,7870.9082428293,-4850.98365357839,15489.3597605124,4723.48719019772,10159.1579504316,4775.64667223615,4795.32968532442,97889.000139237,-2743.11595655806,7719.00122528544,53492.4533277639,23752.0640490114,-904.999359509886,11912.7667780563,10668.7191311612,7069.04541910331,6125.53489278752,6748.24469507101,7847.27624617098,19446.0977443609,6164.07593984962,2722.31133389028,50025.1051796157,-1963.48496240602,-2174.39153439153,212769.488081314,11082.4826510721,69266.7247284879,6101.2962684489,13291.6782511835,8384.74305207463,22405.0451684767,29015.5904483431,1182551.43884712,59833.1920634921,122871.246282373,3615.11704260652,-3027.23478139794,137231.464578112,-1481.86455026455,12642.9941241994,6206.78253968254,19391.1748538012,102513.540545809,31137.6126705653,254408.939821777,-35997.6755221387,-11085.3457811195,108509.015483152,33525.9678084099,30285.1315511,4784.64310776942,4241.59844054581,-114.835588972431,-4005.90264550265,12655.004288499,11454.2717627402
"OTU_71685",2562991.47304372,91766.5816485659,-4363.70192147034,28782.4589807853,735914.671595656,-372231.280200501,172523.060846561,-68355.8025898078,3622104.90729602,27207.554887218,3202372.45803397,199233.902589808,74155.2722082985,-32925.6497076023,-119357.210999722,-122460.336424394,-133746.371094403,-68669.8739069897,-65902.6226120858,100999.308744082,-28751.001475912,-551133.514592036,22187.4874965191,58399.8741576163,-438287.288861041,-427982.092091339,214673.655165692,58905.8757449179,-3258217.83898635,-28285.9359231412,127578.474742412,1546135.64511278,-120187.739376218,-63742.1523809524,-802117.872904483,-95744.3667780563,-216536.880562517,53839.9489557226,-60816.411946533,-165823.734085213,-483420.348649401,213731.085073796,-56988.3051796157,-166778.34566973,2622171.64862155,-108378.236591479,-96413.5557504873,291594.878167641,296714.950459482,-298027.573879142,-85123.9773322194,-78831.1308827625,653757.254191033,-124103.468699527,440971.576747424,-63696.3796992481,-175053.538624339,-147014.786744639,-71135.6175438597,575875.296602618,-56912.2488443331,-34434.0940685046,453841.957393484,-161352.435366193,113471.986104149,-75200.3252018936,-785774.848370927,86493.4660540239,-65117.9631857421,-38997.3582010582,105521.238373712,-112949.877304372,-54049.6751601225,-52344.0292954609,-58577.0760233918,-61284.4505151768,-51432.2140350877,277847.132163743,56150.2857978279,-123183.647368421,-339229.28727374,695071.192007797,-68416.8773322194,234466.281063771,-129775.676663882,11637.6949317739,5818.52960178223,32371.2294068505,-55169.9551378446,2197089.94416597,135084.789585074,-51511.6712336397,-411569.32940685,-220431.350320245,236221.949512671,-96058.0282651072,-70034.7419660262,-26342.4511556669,-93805.8517961571,-47578.498384851,-45484.9016986912,-160145.391255918,-23215.2243664717,-89186.5750487329,-464061.013004734,85731.141882484,132961.772486772,-1924857.25499861,-130081.082762462,-392688.38331941,-53834.1052353105,-106948.386131997,-76980.0749930382,-130201.387691451,-208631.531690337,-7350363.1470064,-328496.985714286,6484652.68521303,122305.245808967,616896.269033695,-782969.237621832,148562.758730159,-121676.098830409,-16781.9624338624,-119075.380924534,-431829.928181565,-35669.2311612364,-1677543.0272626,1454888.79443052,544830.727011974,-1105488.78017265,208415.157504873,-170484.05357839,-51138.8915065441,-69028.731272626,18365.092341966,941737.564021164,-90790.9577833473,-160291.627652464
"OTU_86458",64696.7588972431,17497.7174046227,-5443.34909495962,-3314.60590364801,68569.6750765803,1105.90080757449,689.904761904762,1290.04689501532,27207.554887218,2487.66794764689,132671.753494848,1281.91818434976,2181.06182121972,-1548.63898635478,4817.59643553328,2500.93912559176,6862.63586744639,-592.56619326093,2750.81459203564,5255.80484544695,16766.2609857978,29993.5896964634,-1921.27607908661,11567.0756335283,10907.2615427458,5859.63792815372,10260.9627401838,10878.9899192426,56045.7703146756,3905.02467279309,1720.38813700919,-15295.2139793929,1832.70659983292,-2.95661375661376,-17577.0839877471,1021.66176552492,6750.98117516012,3102.45563909774,1822.99392926761,6711.90236702868,2831.10916179337,3079.89668615984,-115.725257588415,17464.7355054302,16195.4208298524,5446.26828181565,782.787190197717,1827.16318574213,9870.79799498747,8960.60963519911,865.273572820941,6848.78084099137,3680.6045112782,440.277749930382,6159.83614592036,1692.28794207742,-226.617989417989,497.152548036759,377.73918128655,8322.86427179059,452.120690615427,6187.18691172375,3799.19938735728,3456.63118908382,1381.7261487051,674.636090225564,21834.3383458647,2749.45769980507,122.014536340852,4631.83492063492,2794.87468671679,3085.72559175717,148.049568365358,875.586131996658,873.570314675578,1110.8947925369,781.562350320245,2651.13160679476,2623.41319966583,2360.9888053467,3002.3186856029,5334.59649122807,1700.84711779449,780.696964633807,2484.74424951267,1769.30186577555,4482.05591757171,5481.07485380117,437.406739069897,89669.2999164578,1134.68460038986,787.872069061543,3266.5791144528,1087.87691450849,1526.35845168477,1702.80924533556,3082.28365357839,1296.91740462267,64.8680590364801,637.464717348928,1499.05012531328,3723.98050682261,4051.74374825954,-2172.29685324422,2674.3664160401,1053.12113617377,2266.07936507937,59791.5546644389,1662.36585909217,34888.2662211083,1224.44266221108,3105.77315511,1941.7828460039,1917.34051796157,4730.49768866611,524679.932776385,30264.8,147519.428738513,3372.90342522974,14054.6882762462,74431.2303536619,1306.41481481481,3190.3223614592,3402.61164021164,7685.43932052353,33225.1081592871,-1632.07479810638,63049.4184349763,11512.6184349763,-1739.92364243943,7179.74753550543,8554.07201336675,6182.99069896965,639.375828460039,459.316067947647,2900.60696184907,18641.8761904762,2739.9940406572,624.609746588694
