col_names,SAMPLE_Stool262,SAMPLE_Stool263,SAMPLE_Stool264,SAMPLE_Stool265,SAMPLE_Stool266,SAMPLE_Stool267,SAMPLE_Stool268,SAMPLE_Stool269,SAMPLE_Stool270,SAMPLE_Stool271,SAMPLE_Stool272,SAMPLE_Stool273,SAMPLE_Stool274,SAMPLE_Stool275,SAMPLE_Stool276,SAMPLE_Stool277,SAMPLE_Stool278,SAMPLE_Stool279,SAMPLE_Stool280,SAMPLE_Stool281,SAMPLE_Stool282,SAMPLE_Stool283,SAMPLE_Stool379,SAMPLE_Stool380,SAMPLE_Stool381,SAMPLE_Stool382,SAMPLE_Stool383,SAMPLE_Stool384,SAMPLE_Stool385,SAMPLE_Stool386,SAMPLE_Stool387,SAMPLE_Stool388,SAMPLE_Stool389,SAMPLE_Stool390,SAMPLE_Stool391,SAMPLE_Stool392,SAMPLE_Stool393,SAMPLE_Stool394,SAMPLE_Stool395,SAMPLE_Stool396,SAMPLE_Stool397,SAMPLE_Stool398,SAMPLE_Stool399,SAMPLE_Stool400,SAMPLE_Stool401,SAMPLE_Stool402,SAMPLE_Stool403,SAMPLE_Stool404,SAMPLE_Stool405,SAMPLE_Stool406,SAMPLE_Stool407,SAMPLE_Stool408,SAMPLE_Stool409,SAMPLE_Stool410,SAMPLE_Stool411,SAMPLE_Stool412,SAMPLE_Stool413,SAMPLE_Stool414,SAMPLE_Stool415,SAMPLE_Stool416,SAMPLE_Stool417,SAMPLE_Stool418,SAMPLE_Stool419,SAMPLE_Stool420,SAMPLE_Stool421,SAMPLE_Stool422,SAMPLE_Stool423,SAMPLE_Stool424,SAMPLE_Stool425,SAMPLE_Stool426,SAMPLE_Stool427,SAMPLE_Stool428,SAMPLE_Stool429,SAMPLE_Stool430,SAMPLE_Stool431,SAMPLE_Stool432,SAMPLE_Stool433,SAMPLE_Stool434,SAMPLE_Stool435,SAMPLE_Stool436,SAMPLE_Stool437,SAMPLE_Stool438,SAMPLE_Stool439,SAMPLE_Stool440,SAMPLE_Stool441,SAMPLE_Stool442,SAMPLE_Stool443,SAMPLE_Stool444,SAMPLE_Stool445,SAMPLE_Stool446,SAMPLE_Stool447,SAMPLE_Stool449,SAMPLE_Stool450,SAMPLE_Stool451,SAMPLE_Stool452,SAMPLE_Stool453,SAMPLE_Stool454,SAMPLE_Stool455,SAMPLE_Stool456,SAMPLE_Stool457,SAMPLE_Stool458,SAMPLE_Stool459,SAMPLE_Stool460,SAMPLE_Stool461,SAMPLE_Stool462,SAMPLE_Stool463,SAMPLE_Stool464,SAMPLE_Stool465,SAMPLE_Stool466,SAMPLE_Stool467,SAMPLE_Stool468,SAMPLE_Stool469,SAMPLE_Stool470,SAMPLE_Stool471,SAMPLE_Stool472,SAMPLE_Stool473,SAMPLE_Stool474,SAMPLE_Stool475,SAMPLE_Stool476,SAMPLE_Stool477,SAMPLE_Stool478,SAMPLE_Stool479,SAMPLE_Stool480,SAMPLE_Stool481,SAMPLE_Stool482,SAMPLE_Stool483,SAMPLE_Stool484,SAMPLE_Stool485,SAMPLE_Stool486,SAMPLE_Stool487,SAMPLE_Stool488,SAMPLE_Stool489,SAMPLE_Stool490,SAMPLE_Stool491,SAMPLE_Stool492,SAMPLE_Stool493,SAMPLE_Stool494,SAMPLE_Stool495,SAMPLE_Stool496,SAMPLE_Stool497,SAMPLE_Stool498,SAMPLE_Stool499,SAMPLE_Stool500,SAMPLE_Stool501,SAMPLE_Stool502,SAMPLE_Stool503,SAMPLE_Stool505,SAMPLE_Stool506,SAMPLE_Stool507,SAMPLE_Stool508,SAMPLE_Stool509,SAMPLE_Stool510,SAMPLE_Stool511,SAMPLE_Stool512,SAMPLE_Stool513,SAMPLE_Stool514,SAMPLE_Stool515,SAMPLE_Stool516,SAMPLE_Stool517,SAMPLE_Stool518,SAMPLE_Stool519,SAMPLE_Stool520,SAMPLE_Stool521,SAMPLE_Stool522,SAMPLE_Stool523,SAMPLE_Stool524,SAMPLE_Stool525,SAMPLE_Stool526,SAMPLE_Stool527,SAMPLE_Stool528,SAMPLE_Stool529,SAMPLE_Stool530,SAMPLE_Stool531,SAMPLE_Stool532,SAMPLE_Stool533,SAMPLE_Stool534,SAMPLE_Stool535,SAMPLE_Stool536,SAMPLE_Stool537,SAMPLE_Stool538,SAMPLE_Stool539,SAMPLE_Stool540,SAMPLE_Stool541,SAMPLE_Stool542,SAMPLE_Stool543,SAMPLE_Stool544,SAMPLE_Stool545,SAMPLE_Stool546,SAMPLE_Stool547,SAMPLE_Stool548
OTU_1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1994,770,1974,2561,1238,1666,917,1028,3428,7854,7693,1795,2185,806,2010,2982,201,1213,776,407,704,876,905,159,148,137,0,388,0,219,382,131,161,132,204,194,256,247,334,416,714,475,1099,535,264,86,296,245,465,355,505,439,706,300,449,186,102,35,199,128,88,107,138,122,221,174,172,211,295,264,448,212,320,275,372,465,775,785,1111,421,294,213,97,250,447,0,310,286,172,362,326,345,258,398,160,0,0,1,34,184,236,692,816,914,829,694,664,1411,773,1024,315,332,418,633,809,1037,926,580,653,612,585,1085,689,505,622,448,699,1699,186,709,2412,3049,3526,3807,3782,4093,3942,8422,5715,6449,2212,791,1591,2051,2650,6909,3439,367,3636,3641,7585,6624,5894,7019,5129,1660,1675,1659,769,5868,2407,1477,1813,1484,3761,4370,4186,2915,5536,3767,7874,3746,3995,3811,5495,2788,3488,4209,2658,597,2154,1088,29,24,7,2476,3220,1459,349,145,1599
OTU_2000,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
OTU_2045,174,955,1213,489,984,678,1236,955,1573,2043,876,1346,979,930,1369,133,789,285,328,580,1310,1039,84,237,333,0,274,0,411,479,156,99,180,243,118,492,544,946,581,373,234,482,405,947,585,630,295,286,416,440,117,474,467,520,410,190,108,273,102,93,179,206,235,224,166,100,43,263,402,352,243,136,180,169,405,274,948,615,250,459,273,115,295,279,0,317,64,209,277,658,703,655,361,80,0,0,0,12,111,151,382,372,1116,1429,628,460,207,393,361,124,105,147,156,234,623,323,144,162,162,82,300,203,115,83,69,38,23,21,0,0,0,4,56,144,395,354,377,69,415,106,35,64,174,404,231,382,442,802,511,1112,376,100,239,591,121,354,465,329,1019,574,551,741,232,786,951,1700,956,1073,804,1202,534,437,304,398,642,641,1110,3649,208,629,663,5,2,3,386,726,621,570,155,368
